cd_name,description
CD275,ICOS-L (ICOS ligand) Expressed on: antigen presenting cells Binds: ICOS on T cells
CD276,"CD276 (aka B7-H3), an immune checkpoint molecule, is expressed by some solid tumours and is the target of anticancer candidates such as Macrogenics' MGA271"
CD277,aka Butyrophilin subfamily 3 member A1 (BTN3A1)
CD278,Inducible T-cell costimulator (ICOS) is an immune checkpoint protein; a CD28-superfamily costimulatory molecule expressed on activated T cells; thought to be important for Th2 cells. Used as a biomarker in Ipilimumab treatment.
CD279,"PD-1 or PDCD1 (Programmed Cell Death 1); cell surface receptor which binds to PD-L1 and PD-L2 ligands; functions as immune checkpoint with important role in down regulating immune system by preventing T-cell activation. Targeted by Nivolumab, Pembrolizumab and other monoclonal antibodies in a new class of cancer drugs."
CD280,Mannose receptor C type 2 (MRC2)
CD281,TLR1; a member of the Toll-like receptor family (TLR) of pattern recognition receptors of the innate immune system. TLR1 recognizes pathogen-associated molecular pattern with a specificity for gram-positive bacteria; found on the surface of macrophages and neutrophils; interacts with TLR2 (CD282).
CD282,"Toll-like receptor 2 (TLR2); plays a role in the immune system. TLR2 is a membrane protein, recognizing bacterial, fungal, viral, and certain endogenous substances and passing on appropriate signals to the cells of the immune system."
CD283,"Toll-like receptor 3 (TLR3); abundantly expressed in placenta and pancreas, and restricted to the dendritic subpopulation of leukocytes. It recognizes dsRNA associated with viral infection, and induces activation of IRF3, unlike all other Toll-like receptors which activate NF-κB. IRF3 ultimately induces the production of type I interferons, and thus may play role in defense against viruses"
CD284,"Toll-like receptor 4 (TLR4 or TOLL). It detects lipopolysaccharide from Gram-negative bacteria and is thus important in the activation of the innate immune system. Various μ-opioid receptor ligands have been found to possess action as agonists or antagonists of TLR4, with opioid agonists such as morphine being TLR4 agonists."
CD285,not assigned
CD286,Toll-like receptor 6 (TLR6). This receptor functionally interacts with TLR2 (CD282) to mediate cellular response to bacterial lipoproteins.
CD287,not assigned
CD288,Toll-like receptor 8 (TLR8); Genetic variants in TLR8 have recently been linked to susceptibility to pulmonary tuberculosis.
CD289,"Toll-like receptor 9 (TLR9). TLR9 recognizes unmethylated CpG sequences in DNA molecules. Biotech company Mologen is currently (2017) testing a TLR9 agonist, Lefitolimod, for treatment of HIV and various cancers."
CD290,"Toll-like receptor 10 (TLR10); most highly expressed in lymphoid tissues such as spleen, lymph node, thymus, and tonsil"
CD291,not assigned
CD292,"Bone morphogenetic protein receptor, type IA (BMPR1A)"
CDw293,Bone morphogenetic protein receptor type-1B (BMPR1B); Mutations in the associated gene have been linked with primary pulmonary hypertension.
CD294,Prostaglandin D2 receptor 2 (DP2) or GPR44; a human protein encoded by the PTGDR2 gene. The DP2 pathway has been suggested as a potential target for baldness treatment.
CD295,Leptin receptor (LEPR or OBR); LEPR functions as a receptor for the fat cell-specific hormone leptin. Variations in the leptin receptor have been associated with obesity and increased susceptibility to Entamoeba histolytica infections.
CD296,ADP-ribosyltransferase 1 (ART1 gene);&#91;21&#93;&#91;22&#93;
CD297,Ecto-ADP-ribosyltransferase 4 (ART4)
CD298,Sodium/potassium-transporting ATPase subunit beta-3 (ATP1B3);
CD299,C-type lectin domain family 4 member M (CLEC4M) or LSIGN (liver/lymph node-specific intracellular adhesion molecules-3 grabbing non-integrin);
CD300A,"CMRF35H, present on monocytes, neutrophils, and some T and B lymphocytes"
CD300C,CMRF35A
CD300E,CMRF35L1&#91;23&#93;
CD301,"CLEC10A (C-type lectin domain family 10 member A). Members of this family share a common protein fold and have diverse functions, such as cell adhesion, cell-cell signalling, glycoprotein turnover, and roles in inflammation and immune response."
CD302,"CD302 is a C-type lectin receptor involved in cell adhesion and migration, as well as endocytosis and phagocytosis."
CD303,"BDCA-2, a type II C-type lectin (CLEC4C) which is involved in endocytosis of antigens for processing in plasmacytoid dendritic cells. Activation decreases type I interferon production."
CD304,"Neuropilin-1 (NP-1), NRP1 or BDCA-4, has a wide range of functions. On neurons, it is a receptor for axon growth guidance class-3 semaphorins SEMA3A and plexin-1, on endothelial and some tumor cells it is a VEGF165 receptor, and on plasmacytoid dendritic cells it has a similar role to CD303 but does not decrease interferon production upon activation."
CD305,"LAIR1, (Leukocyte-associated immunoglobulin-like receptor 1) is an inhibitory receptor found on peripheral mononuclear cells, including NK cells, T cells, and B cells. Inhibitory receptors regulate the immune response to prevent lysis of cells recognized as self."
CD306,"LAIR2, (Leukocyte-associated immunoglobulin-like receptor 2) is a member of the immunoglobulin superfamily. The function of this protein is unknown, though it is thought to be secreted and may help modulate mucosal tolerance."
CD307,"FCRL5, (Fc receptor-like protein 5)"
CD307a,"FCRL1, (Fc receptor-like protein 1)"
CD307b,"FCRL2, (Fc receptor-like protein 2)"
CD307c,"FCRL3, (Fc receptor-like protein 3)"
CD307d,"FCRL4, (Fc receptor-like protein 4)"
CD307e,"FCRL5, (Fc receptor-like protein 5)"
CD308,not assigned
CD309,"Kinase insert domain receptor, (KDR), a type III tyrosine kinase receptor involved in angiogenesis."
CD310,not assigned
CD311,not assigned
CD312,"EMR2, (EGF-like module-containing mucin-like hormone receptor-like 2) is a protein encoded by the ADGRE2 gene. EMR2, a member of the adhesion GPCR family, is expressed by monocytes/macrophages, dendritic cells and all types of granulocytes and is closely related to CD97."
CD313,not assigned
CD314,"KLRK1 or NKG2D is a transmembrane protein belonging to the CD94/NKG2 family of C-type lectin-like receptors. NKG2D is encoded by KLRK1 gene in the NK-gene complex (NKC) on chromosome 12 in humans. In humans it is expressed by NK cells, γδ T cells and CD8+ αβ T cells. NKG2D recognizes induced-self proteins from MIC and RAET1/ULBP families which appear on the surface of stressed, malignant transformed, and infected cells. Thought important in viral control as some viruses have adapted mechanisms to evade NKG2D responses. Also, tumor cells that can evade NKG2D responses are more likely to propagate."
CD315,"PTGFRN, (Prostaglandin F2 receptor negative regulator), found to interact with CD9 and CD81"
CD316,"IGSF8, (Immunoglobulin superfamily member 8)"
CD317,"Tetherin or BST2 (bone marrow stromal antigen 2), is a lipid raft associated protein. Expressed in mature B cells, plasma cells, plasmacytoid dendritic cells, and many other cells, only as a response to stimuli from IFN pathway. Known to block many types of enveloped viruses by tethering the budding virus like particles (VLPs) and inhibiting them from leaving the cell surface."
CD318,"CDCP1, (CUB domain-containing protein 1) and Trask (Transmembrane and associated with src kinases). The phosphorylation of CDCP1 is seen in many cancers, including some pre-invasive cancers as well as in invasive tumors and in tumor metastases. The functional implications of CDCP1 phosphorylation in tumors is currently under investigation."
CD319,"SLAMF7, a marker of normal plasma cells and malignant plasma cells in multiple myeloma."
CD320,8D6A
CD321,"F11R (F11 Receptor), or JAM1 (Junctional adhesion molecule A)"
CD322,JAM2 (Junctional adhesion molecule B). Acts as an adhesive ligand for interacting with a variety of immune cell types and may play a role in lymphocyte homing to secondary lymphoid organs.
CD323,not assigned
CD324,"A tumor-suppressor gene encoded by the CDH1 (gene) gene also known as Cadherin-1, CAM 120/80, epithelial cadherin (E-cadherin) or uvomorulin. Mutations (loss) in this gene are correlated with gastric, breast, colorectal, thyroid, and ovarian cancers."
CD325,"CDH2, Cadherin-2, N-cadherin or neural cadherin (NCAD). It is a transmembrane protein expressed in multiple tissues and functions to mediate cell-cell adhesion. In cardiac muscle, N-cadherin is an integral component in adherens junctions residing at intercalated discs, which function to mechanically and electrically couple adjacent cardiomyocytes. Alterations in expression and integrity of N-cadherin protein has been observed in various forms of disease, including human dilated cardiomyopathy."
CD326,Epithelial cell adhesion molecule (EpCAM) or Tumor-associated calcium signal transducer 1 (TACSTD1). Expressed on epithelial cells and on many tumors; used as a target for anti-tumor drugs. CD326 is expressed in pluripotent stem cells.
CD327,"SIGLEC6, (Sialic acid-binding Ig-like lectin 6)"
CD328,"SIGLEC7, (Sialic acid-binding Ig-like lectin 7)"
CD329,"SIGLEC9, (Sialic acid-binding Ig-like lectin 9)"
CD330,not assigned
CD331,"FGFR1 (Fibroblast growth factor receptor 1). A receptor tyrosine kinase whose ligands are specific members of the fibroblast growth factor family. FGFR1 has been shown to be associated with Pfeiffer syndrome. Mutations in the associated gene have also been associated Jackson–Weiss syndrome, Antley-Bixler syndrome, Trigonocephaly, osteoglophonic dysplasia, squamous cell lung cancer and autosomal dominant Kallmann syndrome and may be associated with cleft lip and/or palate. Somatic mutations of the FGFR1 gene occurs in several diseases including breast and lung cancers. Experimental drug Lucitanib from Clovis targets FGFR1, which is over-expressed on some tumor cells causing increased proliferation."
CD332,"FGFR2 (Fibroblast growth factor receptor 2). FGFR2 has important roles in embryonic development and tissue repair, especially bone and blood vessels. Mutations are associated with numerous medical conditions including abnormal bone development (e.g. craniosynostosis syndromes) and cancer. Five Prime has a monoclonal antibody, FPA144, in early stage trials, that targets FGFR2b (a form of FGFR2), to treat gastric tumours that overexpress FGFR2b, by preventing binding of certain FGFs to FGFR2b."
CD333,"FGFR3 (Fibroblast growth factor receptor 3). Defects in the FGFR3 gene have been associated with several conditions, including achondroplasia/hypochondroplasia, thanatophoric dwarfism, seborrheic keratosis, bladder cancer and craniosynostosis"
CD334,"FGFR4 (Fibroblast growth factor receptor 4). Although specific function is unknown, overexpressed in gynecological tumor samples, suggesting a role in breast and ovarian tumorigenesis."
CD335,Also known as NCR1 or NKp46
CD336,NCR2 (Natural cytotoxicity triggering receptor 2)
CD337,Also known as Natural cytotoxicity triggering receptor 3 NCR3 or NKp30. Protein that in humans is encoded by the NCR3 gene.
CD338,"ABCG2 (ATP-binding cassette sub-family G member 2) or BCRP (Breast Cancer Resistance Protein). This protein functions as a xenobiotic transporter which may play a role in multi-drug resistance to chemotherapeutic agents. Significant expression observed in placenta, and role protecting fetus from xenobiotics in maternal circulation. Also protective roles in blocking absorption at the apical membrane of the intestine, blood-testis barrier, blood–brain barrier, and membranes of hematopoietic progenitor and other stem cells. At apical membranes of liver and kidney, enhances excretion of xenobiotics. In lactating mammary gland, role in excreting vitamins such as riboflavin and biotin into milk."
CD339,JAG1 (Jagged 1). One of five cell surface proteins (ligands) that interact with 4 receptors in the mammalian Notch signaling pathway. The JAG1 gene is expressed in multiple organ systems in the body and causes the autosomal dominant disorder Alagille syndrome (ALGS) resulting from loss of function mutations within the gene. Up regulation of JAG1 has been correlated with both poor overall breast cancer survival rates and an enhancement of tumor proliferation in adrenocortical carcinoma patients
CD340,"Receptor tyrosine-protein kinase erbB-2, HER2 (human epidermal growth factor receptor 2) or HER2/neu. Overexpression plays a role in certain types of breast cancer. It is a biomarker target for breast cancer drugs such as Herceptin."
CD344,FZD4 (Frizzled-4) a receptor in WNT-signalling pathway and for Norrin. FZD4 signaling induced by Norrin regulates vascular development of vertebrate retina and controls important blood vessels in the ear.
CD349,"FZD9 (Frizzled-9) a receptor in WNT-signalling pathway. The FZD9 gene is located within the Williams syndrome common deletion region of chromosome 7, and heterozygous deletion of the FZD9 gene may contribute to the Williams syndrome phenotype. FZD9 is expressed predominantly in brain, testis, eye, skeletal muscle, and kidney"
CD351,"FCAMR, (Fcα/μR), an Fc receptor that binds IgM with high affinity and IgA with a 10-fold lower affinity."
CD352,"SLAMF6, (Signaling lymphocytic activation molecule family member 6), expressed on Natural killer (NK), T, and B lymphocytes."
CD353,"SLAMF8, (Signaling lymphocytic activation molecule family member 8), expressed in lymphoid tissues."
CD354,"TREM1, Triggering receptor expressed on myeloid cells 1."
CD355,"Cytotoxic and regulatory T-cell molecule, encoded by CRTAM gene. Strongly expressed in spleen, thymus, small intestine, peripheral blood leukocyte and in Purkinje neurons in cerebellum."
CD357,"TNFRSF18, Tumor necrosis factor receptor superfamily member 18, activation-inducible TNFR family receptor (AITR) or Glucocorticoid-induced TNFR-related protein (GITR). This receptor has increased expression upon T-cell activation, and is thought to play a key role in dominant immunological self-tolerance maintained by CD25+/CD4+ regulatory T cells. There are several anti-GITR agonist antibodies in early-stage development. Activating the GITR receptor is thought to increase the proliferation and function of effector T cells, particularly in combination with anti-PDL1 antibodies. As of 2015, TG Therapeutics and Five Prime / Inhibrx have clinical stage antibodies; Merck (MK4166), Medimmune AstraZeneca (MEDI1873), and the company GITR (TRX518) have antibodies in phase 1 trials for solid tumors. In 2016, Novartis initiated an anti-GITR (GWN323) trial.&#91;24&#93;"
CD358,"Death receptor 6 (DR6) or tumor necrosis factor receptor superfamily member 21 (TNFRSF21), it activates the JNK and NF-κB pathways and is mostly expressed in the thymus, spleen and white blood cells."
CD360,"IL21R (Interleukin 21 receptor). It is a cytokine receptor for interleukin 21 (IL21). It transduces the growth promoting signal of IL21, and is important for the proliferation and differentiation of T cells, B cells, and natural killer (NK) cells. The ligand binding of this receptor leads to the activation of multiple downstream signaling molecules, including JAK1, JAK3, STAT1, and STAT3."
CD361,Also known as EVI2B.
CD362,"Also known as SDC2, Syndecan-2."
CD363,"S1PR1 (Sphingosine-1-phosphate receptor 1) or EDG1. It is a G-protein-coupled receptor which binds the bioactive signaling molecule sphingosine 1-phosphate (S1P). S1PR1 activation is involved in immune cell regulation and development; vascular growth and development during embryogenesis; motility of cancer cells; it is also over-expressed in MS lesions. Receptos Celgene has a drug in development, Ozanimod, which modulates S1P1R1 in the treatment of immune-inflammatory diseases MS and ulcerative colitis. It is believed to work by interfering with S1P signaling, blocking the lymphocyte response to lymph node exit signals by sequestering them within the nodes, and thus reducing circulating lymphocytes and anti-inflammatory activity by inhibiting cell migration to sites of inflammation."
CD364,"Peptidase inhibitor 16, or Cysteine-rich secretory protein 9 (CRISP-9) encoded by PI16 gene"
CD365,"HAVCR1 (Hepatitis A virus cellular receptor 1) or TIM-1 (T-cell immunoglobulin and mucin domain 1). Plays critical roles in regulating immune cell activity especially in response to viral infection including HAV, Ebola and Dengue. TIM-1 is also involved in allergic response, asthma, and transplant tolerance."
CD366,"Also known as HAVCR2 (Hepatitis A virus cellular receptor 2) or TIM-3 (T-cell immunoglobulin and mucin domain 3). TIM3 is under investigation as a cancer immune checkpoint target as it may function as a T cell inhibitory receptor and is expressed on CD8+ T cells and Tregs, both involved in immunosuppression. Enumeral / Merck is studying a co-blockade of PD1 and TIM3 pathways; Novartis is also testing an anti-TIM3 therapy with MBG453 (2015)."
CD367,Also known as CLEC4A. C-type lectin domain family 4 member A.
CD368,Also known as CLEC4D.
CD369,Also known as CLEC7A. C-type lectin domain family 7 member A or Dectin-1
CD370,Also known as CLEC9A.
CD371,"Also known as CLEC12A, C-type lectin domain family 12 member A.&#91;25&#93;"
